Note: does not include group expenses

Date,Description,Category,Cost,Currency,John Doe,Jane Doe
2018-08-07,John D. paid Jane D.,Payment,3000.00,MKD,3000.00,-3000.00
2018-08-07,Lusteri,General,6400.00,MKD,-3200.00,3200.00
2018-08-16,Kredit 08.2018,General,14229.00,MKD,7114.50,-7114.50
2018-08-22,EVN 07-08.2018,General,746.00,MKD,373.00,-373.00
2018-09-06,Toni - za hodnik,General,14000.00,MKD,-7000.00,7000.00
2018-09-09,T-Home 07-08.2018,General,1879.00,MKD,1879.00,-1879.00
2018-10-13,Komarnici,General,8000.00,MKD,-4000.00,4000.00
2018-10-13,Luster (kolku tvojot),General,1700.00,MKD,-850.00,850.00
2018-10-24,Pazarenje (2*loki+za niz doma),General,2600.00,MKD,-1300.00,1300.00
2018-10-30,Toni+racki,General,15200.00,MKD,-7600.00,7600.00
2018-10-30,Evra,General,2400.00,MKD,2400.00,-2400.00
2018-11-01,Kam,General,650.00,MKD,325.00,-325.00
2018-11-05,Pazarenje,General,500.00,MKD,-250.00,250.00
2018-11-10,Hubo,General,1100.00,MKD,550.00,-550.00
2018-11-10,Sitni pazarenja,General,500.00,MKD,250.00,-250.00
2018-11-10,Novomak ,General,450.00,MKD,-225.00,225.00
2018-11-10,EVN 08.2018-10.2018,General,1054.00,MKD,527.00,-527.00
2018-11-10,Toni,General,12300.00,MKD,-6150.00,6150.00
2018-11-10,T-Home 09.2018,General,1104.00,MKD,552.00,-552.00
2018-11-10,T-Home 10.2018,General,1099.00,MKD,549.50,-549.50
2018-11-10,Kredit 09.2018,General,6203.00,MKD,6203.00,-6203.00
2018-11-10,Kredit 10.2018,General,6302.00,MKD,6302.00,-6302.00
2018-11-18,Ramstor 2 pati,General,2250.00,MKD,-1125.00,1125.00
2018-11-18,Plasticarska,General,1500.00,MKD,-750.00,750.00
2018-11-18,Baba,General,500.00,MKD,500.00,-500.00
2018-11-22,Fen + ramstor,General,2000.00,MKD,-1000.00,1000.00
2018-11-27,Tehnomarket+ramstor,General,2300.00,MKD,-1150.00,1150.00
2018-12-11,Frizider vrata,General,1000.00,MKD,500.00,-500.00
2018-12-12,Pazerenja,General,2600.00,MKD,-1300.00,1300.00
2018-12-20,Pazarenje zavcera,General,750.00,MKD,-375.00,375.00
2019-01-02,EVN 10-11.2018,General,889.00,MKD,444.50,-444.50
2019-01-02,EVN 11-12.2018,General,1616.00,MKD,808.00,-808.00
2019-01-02,T-Home 11 i 12.2018,General,2205.00,MKD,1102.50,-1102.50
2019-01-02,Kredit 12.2018,General,12609.00,MKD,6304.50,-6304.50
2019-01-11,Pazarenje,General,1000.00,MKD,-500.00,500.00
2019-01-15,Vasilica,General,500.00,MKD,-500.00,500.00
2019-01-17,Pazarenje,General,1200.00,MKD,-600.00,600.00
2019-01-17,Toni - Polici + natkasni,General,6000.00,MKD,-3000.00,3000.00
2019-02-02,Evn 12-01.2019,General,2080.00,MKD,1040.00,-1040.00
2019-02-02,Kredit 01.2019,General,12609.00,MKD,6304.50,-6304.50
2019-02-21,Evn 01-02.2019,General,2312.00,MKD,1156.00,-1156.00
2019-02-21,T-Home 01.2019,General,1103.00,MKD,551.50,-551.50
2019-02-27,Pazarenje ,General,1600.00,MKD,-800.00,800.00
2019-03-02,Domaleks 10-12.2018,General,1286.00,MKD,643.00,-643.00
2019-03-04,Benzin,Gas/fuel,1800.00,MKD,1800.00,-1800.00
2019-03-14,Tapet+Ramstor+Casi,General,3850.00,MKD,-1925.00,1925.00
2019-03-21,EVN 02-03.2019,General,1398.00,MKD,699.00,-699.00
2019-03-21,THome 02.2019,General,1100.00,MKD,550.00,-550.00
2019-03-22,Tapetar,General,1500.00,MKD,-750.00,750.00
2019-03-25,Domaleks 01.2019,General,449.00,MKD,224.50,-224.50
2019-03-25,Domaleks 02.2019,General,449.00,MKD,224.50,-224.50
2019-04-03,Pazerenje,General,4000.00,MKD,-2000.00,2000.00
2019-04-07,Viluski - cajnik,General,1000.00,MKD,-500.00,500.00
2019-04-07,Korniza,General,1400.00,MKD,-700.00,700.00
2019-04-09,THome 03.2019,General,1100.00,MKD,550.00,-550.00
2019-04-11,Perde+viluski+pazarenje,General,2000.00,MKD,-1000.00,1000.00
2019-04-15,Perde i pazarenje,General,6000.00,MKD,-3000.00,3000.00
2019-04-25,Evn 03-04.2019,General,1089.00,MKD,544.50,-544.50
2019-04-28,Kredit 02.2019,General,12635.00,MKD,6317.50,-6317.50
2019-04-28,Kredit 03.2019,General,12608.00,MKD,6304.00,-6304.00
2019-04-28,Kredit 04.2019,General,12609.00,MKD,6304.50,-6304.50
2019-05-14,Pazarenje,General,1100.00,MKD,-550.00,550.00
2019-05-19,Kredit 05.2019,General,12604.00,MKD,6302.00,-6302.00
2019-05-19,Pazarenje,General,1400.00,MKD,-700.00,700.00
2019-05-19,Farmerki,General,4560.00,MKD,2280.00,-2280.00
2019-05-19,EVN 04-05.2019,General,861.00,MKD,430.50,-430.50
2019-05-19,Pazar,General,1200.00,MKD,-600.00,600.00
2019-05-19,Pazarenje,General,213.00,MKD,106.50,-106.50
2019-05-21,Benzin,General,1300.00,MKD,1300.00,-1300.00
2019-06-11,Pazarenje,General,500.00,MKD,-250.00,250.00
2019-06-14,Pazarenje,General,800.00,MKD,-400.00,400.00
2019-06-17,Benzin i patarini,Gas/fuel,3600.00,MKD,-1800.00,1800.00
2019-06-17,Zelen karton (5500/4),General,1400.00,MKD,-700.00,700.00
2019-06-17,Loki,General,1600.00,MKD,-800.00,800.00
2019-06-20,THome 05.2019,General,1100.00,MKD,550.00,-550.00
2019-06-20,Evn 05-06.2019,General,840.00,MKD,420.00,-420.00
2019-06-20,Domaleks 03.2019,General,452.00,MKD,226.00,-226.00
2019-06-21,Pazarenje,General,1300.00,MKD,-650.00,650.00
2019-06-21,Pari,General,6350.00,MKD,-6350.00,6350.00
2019-07-13,Pazarenje,General,715.00,MKD,357.50,-357.50
2019-07-14,Pzarenje,General,480.00,MKD,-240.00,240.00
2019-07-21,Evn 06-07.2019,General,660.00,MKD,330.00,-330.00
2019-07-21,T-Home 06.2019,General,1100.00,MKD,550.00,-550.00
2019-07-21,Pazarenje,General,1300.00,MKD,-650.00,650.00
2019-07-21,Vodovod 06&07.2019,General,482.00,MKD,241.00,-241.00
2019-07-21,Domaleks 05.2019,General,416.00,MKD,208.00,-208.00
2019-07-21,T-home 04.2019,General,1100.00,MKD,550.00,-550.00
2019-07-22,Kredit 06.2019,General,12610.00,MKD,6305.00,-6305.00
2019-07-22,Kredit 07.2019,General,12600.00,MKD,6300.00,-6300.00
2019-07-27,Avantura toalet,General,350.00,MKD,175.00,-175.00
2019-08-07,Jane D. paid John D.,Payment,6632.00,MKD,-6632.00,6632.00
2019-08-10,Pazarenje,General,400.00,MKD,200.00,-200.00
2019-08-13,2-3 pazarenja,General,1100.00,MKD,-550.00,550.00
2019-08-16,Pazarenje vcera i denes - 2*kapsuli kafe,General,1150.00,MKD,-575.00,575.00
2019-08-16,Osiguruvanje na stan,General,700.00,MKD,-350.00,350.00
2019-08-16,Apoj,General,400.00,MKD,-200.00,200.00
2019-08-24,Kredit 08.2019,General,12600.00,MKD,6300.00,-6300.00
2019-09-05,Jane D. paid John D.,Payment,12200.00,MKD,-12200.00,12200.00
2019-09-05,Po nekoe pazarenje,General,800.00,MKD,400.00,-400.00
2019-09-16,T-Home 07.2019 & 08.2019,TV/Phone/Internet,2198.00,MKD,1099.00,-1099.00
2019-09-16,EVN 07-08.2019,Electricity,746.00,MKD,373.00,-373.00
2019-09-16,Vodovod 08.2019,Water,241.00,MKD,120.50,-120.50
2019-09-16,Domaleks 07.2019 & 08.2019,Cleaning,850.00,MKD,425.00,-425.00
2019-09-16,Kredit 09.2019,Mortgage,12609.00,MKD,6304.50,-6304.50
2019-09-25,Pazarenne,General,1300.00,MKD,-650.00,650.00
2019-10-10,Pazarenje,General,650.00,MKD,-325.00,325.00
2019-10-14,Pazarenne,General,2300.00,MKD,-1150.00,1150.00
2019-10-23,Evn 08-09.2019,General,653.00,MKD,326.50,-326.50
2019-10-23,Evn 09-10.2019,General,780.00,MKD,390.00,-390.00
2019-10-23,T-Home 09.2019,General,1100.00,MKD,550.00,-550.00
2019-10-23,Kredit 10.2019,General,12608.00,MKD,6304.00,-6304.00
2019-10-23,Pazarenje,General,700.00,MKD,-350.00,350.00
2019-10-23,Domaleks 09.2019,General,429.00,MKD,214.50,-214.50
2019-10-23,Vidovod 09.2019,General,241.00,MKD,120.50,-120.50
2019-11-15,Pazarenje,General,1500.00,MKD,-750.00,750.00
2019-11-25,Zegin,General,830.00,MKD,-415.00,415.00
2019-11-30,EVN 10-11.2019,General,814.00,MKD,407.00,-407.00
2019-11-30,T-Home 10.2019,General,1100.00,MKD,550.00,-550.00
2019-11-30,Vodovod 10.2019,General,241.00,MKD,120.50,-120.50
2019-11-30,Kredit 10.2019,General,12609.00,MKD,6304.50,-6304.50
2019-12-07,Pazarenje,General,600.00,MKD,-300.00,300.00
2019-12-19,Pazarenje,General,1300.00,MKD,-650.00,650.00
2019-12-22,Pazarenje,General,1000.00,MKD,-500.00,500.00
2019-12-24,EVN 11.2019,Electronics,1050.00,MKD,525.00,-525.00
2019-12-24,T-Home 11.2019,TV/Phone/Internet,1100.00,MKD,550.00,-550.00
2019-12-24,Vodovod 05.2019,Water,241.00,MKD,120.50,-120.50
2019-12-29,Pazarenje,Groceries,800.00,MKD,-400.00,400.00
2019-12-30,Kredit 12.2019,Mortgage,12618.00,MKD,6309.00,-6309.00
2019-12-30,Domaleks 10.2019,Cleaning,413.00,MKD,206.50,-206.50
2019-12-30,Domaleks 11.2019,Cleaning,474.00,MKD,237.00,-237.00
2019-12-31,Razborcuvanje,General,22450.00,MKD,-22450.00,22450.00
2019-12-31,Mashinka za tato,General,1800.00,MKD,-900.00,900.00
2020-01-09,Pazarenje,General,400.00,MKD,-200.00,200.00
2020-01-11,Aparat,General,7500.00,MKD,3750.00,-3750.00
2020-01-14,T-Home 12.2019,TV/Phone/Internet,1100.00,MKD,550.00,-550.00
2020-01-18,Pazarenje,Groceries,950.00,MKD,-475.00,475.00
2020-01-18,Vodovod 11.2019,Water,241.00,MKD,120.50,-120.50
2020-01-18,Vodovod 12.2019,Water,1328.00,MKD,664.00,-664.00
2020-01-18,BEG 12.2019,Heat/gas,1124.00,MKD,562.00,-562.00
2020-01-18,Kredit 01.2020,Mortgage,12600.00,MKD,6300.00,-6300.00
2020-01-19,Pazarenje,Groceries,900.00,MKD,-450.00,450.00
2020-01-19,Pazarenje,Groceries,542.00,MKD,271.00,-271.00
2020-01-20,Voda Fabrika Karposh,Water,2224.00,MKD,1112.00,-1112.00
2020-01-26,Пазарење,Groceries,1000.00,MKD,500.00,-500.00
2020-01-29,Pazarenje,Groceries,600.00,MKD,-300.00,300.00
2020-01-30,Jane D. paid John D.,Payment,1000.00,MKD,-1000.00,1000.00
2020-02-07,Pazarenje,General,600.00,MKD,-300.00,300.00
2020-02-09,T-Home 01.2020,General,1100.00,MKD,550.00,-550.00
2020-02-09,Alpski skijachi,Sports,18352.00,MKD,9176.00,-9176.00
2020-02-15,Pazar,Groceries,1000.00,MKD,-500.00,500.00
2020-02-17,Pazarenje,General,1800.00,MKD,-900.00,900.00
2020-02-21,Pazarenje,General,800.00,MKD,-400.00,400.00
2020-02-25,Skijanje,General,17654.00,MKD,-17654.00,17654.00
2020-03-01,Decathlon,Sports,5700.00,MKD,5700.00,-5700.00
2020-03-02,Pazarenje,General,1150.00,MKD,-575.00,575.00
2020-03-04,Pazarenje,General,480.00,MKD,-240.00,240.00
2020-03-04,Danok,General,1800.00,MKD,900.00,-900.00
2020-03-05,Pazarenja,General,3800.00,MKD,-1900.00,1900.00
2020-03-06,Осигурување,General,1300.00,MKD,650.00,-650.00
2020-03-07,Prevoz,General,2150.00,MKD,-2150.00,2150.00
2020-03-10,Dekatlon,General,860.00,MKD,-860.00,860.00
2020-03-16,EVN 12.2019-01.2020,Electricity,1000.00,MKD,500.00,-500.00
2020-03-16,EVN 01-02.2020,General,800.00,MKD,400.00,-400.00
2020-03-16,Водовод 01.2020 и 02.2020,General,864.00,MKD,432.00,-432.00
2020-03-16,Домалекс 12.2019 и 01.2020,General,900.00,MKD,450.00,-450.00
2020-03-16,Фабрика Карпош електрична енергија,General,1466.00,MKD,733.00,-733.00
2020-03-16,Т-Хоум 02.2020,General,1100.00,MKD,550.00,-550.00
2020-03-17,Pazarenje,Groceries,5393.00,MKD,-2696.50,2696.50
2020-03-18,Skii tato i underwear (65eu),General,4000.00,MKD,4000.00,-4000.00
2020-03-25,Settling up,General,300.00,MKD,300.00,-300.00
2020-03-29,EVN 02-03.2020,Electricity,895.00,MKD,447.50,-447.50
2020-03-29,Бег 02.2020&03.2020,Heat/gas,2306.00,MKD,1153.00,-1153.00
2020-04-02,2 Pazarenja,General,1300.00,MKD,-650.00,650.00
2020-04-04,Кредит 02.2020,Mortgage,6300.00,MKD,6300.00,-6300.00
2020-04-04,Кредит 03.2020,Mortgage,14494.00,MKD,7247.00,-7247.00
2020-04-07,Jane D. paid John D.,Payment,21000.00,MKD,-21000.00,21000.00
2020-04-11,T-Home 03.2020,General,1100.00,MKD,550.00,-550.00
2020-04-11,Водовод 03.2020,General,434.00,MKD,217.00,-217.00
2020-04-17,Dvd + gjezve,General,2870.00,MKD,1435.00,-1435.00
2020-04-29,Pazarenje,Groceries,1100.00,MKD,-550.00,550.00
2020-05-02,Pazarenje,Groceries,2050.00,MKD,-1025.00,1025.00
2020-05-02,EVN 03-04.2020,Electricity,859.00,MKD,429.50,-429.50
2020-05-04,Marija so ni pazarese,General,1500.00,MKD,-750.00,750.00
2020-05-04,Jane D. paid John D.,Payment,685.00,MKD,-685.00,685.00
2020-05-13,T-Home 04.2020,TV/Phone/Internet,1100.00,MKD,550.00,-550.00
2020-05-13,Vodovod 04.2020,Water,431.00,MKD,215.50,-215.50
2020-05-22,EVN 04.2020,Electricity,660.00,MKD,330.00,-330.00
2020-05-27,Pazarenje,General,1800.00,MKD,-900.00,900.00
2020-05-27,Bialetti Moka,Home - Other,1200.00,MKD,600.00,-600.00
2020-05-30,Home stuff,General,1050.00,MKD,-525.00,525.00
2020-06-02,Pazarenje ,General,1250.00,MKD,-625.00,625.00
2020-06-07,Vodovod 05.2020,General,431.00,MKD,215.50,-215.50
2020-06-07,T-Home 05.2020,General,1100.00,MKD,550.00,-550.00
2020-06-07,Beg 03-05.2020,General,4467.00,MKD,2233.50,-2233.50
2020-06-07,Domaleks 02.2020,General,438.00,MKD,219.00,-219.00
2020-06-21,EVN 05.2020,General,617.00,MKD,308.50,-308.50
2020-06-27,Bankomat ,General,2000.00,MKD,2000.00,-2000.00
2020-07-12,Бег 06.2020,General,2156.00,MKD,1078.00,-1078.00
2020-07-12,Т-Home 06.2020,General,1100.00,MKD,550.00,-550.00
